2021,,,,,,,,,,,,
tanggal,Nomor Agenda Subdit,Nomor Agenda Dir,Asal Surat,Ditujukan,Nomor Surat,Tanggal Surat,Perihal,Tempat,Waktu,Disposisi Seksi,Disposisi Staff,Isi Disposisi
5 Januari 2021,1,,Direktur,Kasubdit,Un. 233/ren/pwap/pla.0/1/2021,4/1/2021,Pembahasan Permohonan KHDTK Rumpin,ZM,"Senin, 11 Januari 2021 / 10.00",,,
,2,,Direktur KPHP,Kasubdit,UN. 391/KPHP/PKPHP/HPL.0/12/2020,30/12/2020,Evaluasi hasil kerja IC Safeguard,ZM,"Rabu, 6 Januari 2020 / 09.00",pwh,bayu,arsipkan
14 Januari 2021,3,312,Sekjen LHK,Dirjen PKTL,UN.9/SETJEN/ROKLN/KLN.0/01/2021,8 Januari 2021,Program Steering Committee (PSC) Meeting Forest Investment Program (FIP) ke 6 Tahun 2021,ZM,"Jum'at, 15 Januaari 2020 / 13.00 - 15.30 WIB ",pwh,nila,monitor
15 jJanuari 2021,4,129,Sekditjen PSKL,Dir RPP,UN.5/SET.2/PROEV/KEU.1/2021,13 Januari 2021,Pelaksanaan Food Estate Provinsi Kalimantan Tengah,ZM,"Senin, 18 Januari 2021/ 13.00 - selesai",alokasi,"astrid, bayu",satukan file KHKP
,5,123,Dir PPH,Dir RPP,UN.3/PPH/PPHS/GKM.2/1/2021,12 Januari 2021,Pembahasan Pengaduan Permohonan IUPHKm KTH Teratai Hijau,ZM,"Kamis, 21 Januari 2021/ 13.00 WIB - Selesai",alokasi,astrid,siapkan paparan
21 Januari 2021,6,177,Dit PDLUK,Dir RPP,UN.23/PDLUK/ALHDI/PLA.4/1/2021,19 Januari 2021,Klarifikasi Tata Ruang Rencana Pembangunan Perkebunan Modern di Rumpin Central Nursery,ZM,"Kamis, 21 Januari 2021/ 10.00 WIB - Selesai",alokasi,,"Monitor, TL, satukan dengan file KHDTK Rumpin"
,7,180,Kemenkomaritim,Dir RPP,00882/D.4/MARVES/I/2021,20 Januari 2021,Undangan Rapat Koordinasi Penyelengaraan KHDTK,ZM,"Selasa, 26 Januari 2021 / 09.00 - selesai",alokasi,,
27 Januari 2021,8,249,Sekjen LHK,Dir RPP,UN.12/ROKUM/KDNH/SET.1/1/2021,25 Januari 2021,Undangan RApat Forclime,Alana Sentul dan Ms. Teams,"Jumat-sabtu, 29-30 Januari 2021",pwh,,
28 Januari 2021,9,271,KKH,Direktur,UN.19/KKH/PKINT/KSA.2/1/2021,27 Januari 2021,Undangan Rapat Pembahasan Post 2020 Global Biodiversity Framework,ZM,"Kamis, 28 Januari 2021 / 8.30",alokasi,,
,10,,Direktur IPSDH,KAsubdit,UN.7/IPSDH/PDTK/PLA.1/1/2021,27 Januari 2021,"
Undangan Rpat Persiapan Penyusunan Peta Indikatif Penghentian Pemberian Ijin Baru Hutan Alam Primer dan Lahan Gambut

",ZM,"Selasa, 2 Februari 2021 / 09.00",alokasi,,
,11,,Kemenkomaritim,KAsubdit,UND-017/SES/Deputi6/Marves/I/2021,27 Januari 2021,Undangan rapat Mentarang Induk Hydro Electric Project,ZM,,pwh,,
29 Januari 2021,12,,Dit. IPSDH ,Kasubdit,UN.9/IPSDH/PDTK/PLA.1/1/2021,27 Januari 2021,Perubahan Pelaksanaan Rapat Undangan Rapat Persiapan Penyusunan Peta Indikatif Pengehentian Pemberian Izin Baru Hutan Alam Primer dan Lahan Gambut Tahun 2021 Periode 1,ZM,"Rabu, 3 Februari 2021 / 09.00",alokasi,,
1 Februari 2021,13,,Direktur,Yana Juhana,UN.10/REN/RKH/PLA.0/2/2021,1 Februari 2021,Rapat pendahuluan tim pelaksana reformasi birokrasi dan pembangunan zona integrasi,ZM,"Selasa, 2 Februari 2021",,bayu,ingatkan
3 Februari 2021,14,,Rocan,Dir RPP,UN.17/ROCAN/KDNH/SET.1/1/2021,29 Januari 2021,Pencermatan Rincian Anggaran Kegiatan yang dibiayai Hibah dan Rupiah Murni Pendamping (RMP) TA 2022 dan Proyeksi Maju 2023 - 2026,ZM,"Rabu, 3 Februari 2021 / 09.00","pwh, gitri",,
,15,,Dir RPP,Kasubdit,UN.12/REN/TU/PLA.0/2/2021,3 Februari 2021,Pembahasan Keuangan dan Perbendaharaan Tahun 2021,Blok 7 lt 5,"Kamis, 4 Februari 2021 / 13.00",,,
